id,alert_id,entity_id,investigator,narrative,investigation_depth,sla_hours
case-001930,al-003542,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-001931,al-003544,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001932,al-003546,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-001933,al-003548,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-001934,al-003550,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-001935,al-003552,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-001936,al-003553,ent-001,analyst-02,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-001937,al-003554,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-001938,al-003555,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-001939,al-003556,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-001940,al-003558,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-001941,al-003560,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-001942,al-003562,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-001943,al-003564,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-001944,al-003566,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-001945,al-003568,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001946,al-003570,ent-006,analyst-19,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-001947,al-003572,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-001948,al-003574,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-001949,al-003576,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-001950,al-003578,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-001951,al-003580,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-001952,al-003582,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-001953,al-003584,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-001954,al-003586,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-001955,al-003587,ent-011,analyst-12,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-001956,al-003588,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-001957,al-003590,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-001958,al-003592,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001959,al-003594,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-001960,al-003596,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-001961,al-003598,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-001962,al-003600,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-001963,al-003602,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-001964,al-003604,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-001965,al-003606,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-001966,al-003608,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-001967,al-003610,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-001968,al-003612,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-001969,al-003614,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-001970,al-003615,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-001971,al-003616,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001972,al-003618,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-001973,al-003620,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-001974,al-003621,ent-009,analyst-22,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-001975,al-003622,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-001976,al-003624,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-001977,al-003626,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-001978,al-003628,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-001979,al-003630,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-001980,al-003632,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-001981,al-003634,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-001982,al-003636,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-001983,al-003638,ent-002,analyst-15,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-001984,al-003640,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001985,al-003642,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-001986,al-003644,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-001987,al-003646,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-001988,al-003648,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-001989,al-003650,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-001990,al-003652,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-001991,al-003654,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-001992,al-003655,ent-007,analyst-08,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-001993,al-003656,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-001994,al-003658,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-001995,al-003660,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-001996,al-003662,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-001997,al-003664,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-001998,al-003666,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-001999,al-003668,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002000,al-003670,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002001,al-003672,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002002,al-003674,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002003,al-003675,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002004,al-003676,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002005,al-003678,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002006,al-003680,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002007,al-003682,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002008,al-003684,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002009,al-003686,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002010,al-003688,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002011,al-003689,ent-005,analyst-18,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002012,al-003690,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002013,al-003692,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002014,al-003694,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002015,al-003696,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002016,al-003698,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002017,al-003700,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002018,al-003702,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002019,al-003704,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002020,al-003706,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002021,al-003708,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002022,al-003710,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002023,al-003712,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002024,al-003714,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002025,al-003716,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002026,al-003718,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002027,al-003720,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002028,al-003722,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002029,al-003723,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002030,al-003724,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002031,al-003726,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002032,al-003728,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002033,al-003730,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002034,al-003732,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002035,al-003734,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002036,al-003735,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002037,al-003736,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002038,al-003738,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002039,al-003740,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002040,al-003742,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002041,al-003744,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002042,al-003746,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002043,al-003748,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002044,al-003750,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002045,al-003752,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002046,al-003754,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002047,al-003756,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002048,al-003757,ent-001,analyst-14,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002049,al-003758,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002050,al-003760,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002051,al-003762,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002052,al-003764,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002053,al-003766,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002054,al-003768,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002055,al-003770,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002056,al-003772,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002057,al-003774,ent-006,analyst-07,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002058,al-003776,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002059,al-003778,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002060,al-003780,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002061,al-003782,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002062,al-003784,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002063,al-003786,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002064,al-003788,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002065,al-003790,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002066,al-003791,ent-011,analyst-24,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002067,al-003792,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002068,al-003794,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002069,al-003795,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002070,al-003796,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002071,al-003798,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002072,al-003800,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002073,al-003802,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002074,al-003804,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002075,al-003806,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002076,al-003808,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002077,al-003810,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002078,al-003812,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002079,al-003814,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002080,al-003816,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002081,al-003818,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002082,al-003820,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002083,al-003822,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002084,al-003824,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002085,al-003825,ent-009,analyst-10,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002086,al-003826,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002087,al-003828,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002088,al-003830,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002089,al-003832,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002090,al-003834,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002091,al-003836,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002092,al-003838,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002093,al-003840,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002094,al-003842,ent-002,analyst-03,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002095,al-003844,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002096,al-003846,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002097,al-003848,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002098,al-003850,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002099,al-003852,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002100,al-003854,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002101,al-003855,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002102,al-003856,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002103,al-003858,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002104,al-003859,ent-007,analyst-20,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002105,al-003860,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002106,al-003862,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002107,al-003864,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002108,al-003866,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002109,al-003868,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002110,al-003870,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002111,al-003872,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002112,al-003874,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002113,al-003876,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002114,al-003878,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002115,al-003880,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002116,al-003882,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002117,al-003884,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002118,al-003886,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002119,al-003888,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002120,al-003890,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002121,al-003892,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002122,al-003893,ent-005,analyst-06,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002123,al-003894,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002124,al-003896,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002125,al-003898,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002126,al-003900,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002127,al-003902,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002128,al-003904,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002129,al-003906,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002130,al-003908,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002131,al-003910,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002132,al-003912,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002133,al-003914,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002134,al-003915,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002135,al-003916,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002136,al-003918,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002137,al-003920,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002138,al-003922,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002139,al-003924,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002140,al-003926,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002141,al-003927,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002142,al-003928,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002143,al-003930,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002144,al-003932,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002145,al-003934,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002146,al-003936,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002147,al-003938,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002148,al-003940,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002149,al-003942,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002150,al-003944,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002151,al-003946,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002152,al-003948,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002153,al-003950,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002154,al-003952,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002155,al-003954,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002156,al-003956,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002157,al-003958,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002158,al-003960,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002159,al-003961,ent-001,analyst-02,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002160,al-003962,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002161,al-003964,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002162,al-003966,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002163,al-003968,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002164,al-003970,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002165,al-003972,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002166,al-003974,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002167,al-003975,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002168,al-003976,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002169,al-003978,ent-006,analyst-19,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002170,al-003980,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002171,al-003982,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002172,al-003984,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002173,al-003986,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002174,al-003988,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-002175,al-003990,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002176,al-003992,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002177,al-003994,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002178,al-003995,ent-011,analyst-12,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002179,al-003996,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002180,al-003998,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002181,al-004000,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002182,al-004002,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002183,al-004004,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002184,al-004006,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-002185,al-004008,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002186,al-004010,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002187,al-004012,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002188,al-004014,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-002189,al-004016,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-002190,al-004018,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-002191,al-004020,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-002192,al-004022,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-002193,al-004024,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-002194,al-004026,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-002195,al-004028,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-002196,al-004029,ent-009,analyst-22,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-002197,al-004030,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-002198,al-004032,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-002199,al-004034,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-002200,al-004035,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-002201,al-004036,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
